type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,unknown,vca,vvct,2023-11-03t14:30:00.000,,,,tpe,rctp,1,2023-11-03t18:55:00.000,,flexflight,w2,fxt,4866,w24866,fxt4866,,vietjet air,vj,vjc,866,vj866,vjc866,,,,,,,,
departure,unknown,vca,vvct,2023-11-03t14:30:00.000,,,,tpe,rctp,1,2023-11-03t18:55:00.000,,vietjet air,vj,vjc,866,vj866,vjc866,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t15:50:00.000,,,,han,vvnb,t1,2023-11-03t18:00:00.000,,,a1,a1,2468,a12468,a12468,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-03t15:50:00.000,,,,han,vvnb,t1,2023-11-03t18:00:00.000,,flexflight,w2,fxt,4468,w24468,fxt4468,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-03t15:50:00.000,,,,han,vvnb,t1,2023-11-03t18:00:00.000,,,h1,h1,4140,h14140,h14140,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-03t15:50:00.000,,,,han,vvnb,t1,2023-11-03t18:00:00.000,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t18:30:00.000,,,,han,vvnb,t1,2023-11-03t20:40:00.000,,,a1,a1,2462,a12462,a12462,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-03t18:30:00.000,,,,han,vvnb,t1,2023-11-03t20:40:00.000,,flexflight,w2,fxt,4462,w24462,fxt4462,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-03t18:30:00.000,,,,han,vvnb,t1,2023-11-03t20:40:00.000,,,h1,h1,4332,h14332,h14332,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-03t18:30:00.000,,,,han,vvnb,t1,2023-11-03t20:40:00.000,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t19:50:00.000,2023-11-03t19:57:00.000,2023-11-03t19:57:00.000,2023-11-03t19:57:00.000,han,vvnb,t1,2023-11-03t22:15:00.000,2023-11-03t21:45:00.000,vietnam airlines,vn,hvn,1206,vn1206,hvn1206,8.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t20:55:00.000,,,,han,vvnb,1,2023-11-03t23:10:00.000,,bamboo airways,qh,bav,1432,qh1432,bav1432,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-04t05:50:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,han,vvnb,t1,2023-11-04t08:00:00.000,2023-11-04t07:49:00.000,,a1,a1,2466,a12466,a12466,9.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-04t05:50:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,han,vvnb,t1,2023-11-04t08:00:00.000,2023-11-04t07:49:00.000,flexflight,w2,fxt,4466,w24466,fxt4466,9.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-04t05:50:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,han,vvnb,t1,2023-11-04t08:00:00.000,2023-11-04t07:49:00.000,,h1,h1,4036,h14036,h14036,9.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-04t05:50:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,2023-11-04t05:59:00.000,han,vvnb,t1,2023-11-04t08:00:00.000,2023-11-04t07:49:00.000,vietjet air,vj,vjc,466,vj466,vjc466,9.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-04t10:00:00.000,2023-11-04t10:08:00.000,2023-11-04t10:08:00.000,2023-11-04t10:08:00.000,han,vvnb,t1,2023-11-04t12:20:00.000,2023-11-04t12:00:00.000,vietnam airlines,vn,hvn,1200,vn1200,hvn1200,9.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-04t11:35:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,dad,vvdn,1,2023-11-04t13:05:00.000,2023-11-04t12:39:00.000,,a1,a1,2702,a12702,a12702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-04t11:35:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,dad,vvdn,1,2023-11-04t13:05:00.000,2023-11-04t12:39:00.000,flexflight,w2,fxt,4702,w24702,fxt4702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-04t11:35:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,2023-11-04t11:31:00.000,dad,vvdn,1,2023-11-04t13:05:00.000,2023-11-04t12:39:00.000,,h1,h1,4348,h14348,h14348,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
